site,birthyear,dct_dist,race
RDL,1996,950.968437495766,abi
RDL,1994,201.345633127569,redacted
RDL,1994,2460.22278172575,redacted
RDL,1999,140.574003779842,aawhite
RDL,1970,524.475751938067,redacted
RDL,1938,775.841190108076,aawhite
RDL,1938,3024.97819352276,aawhite
RDL,1999,457.969556293342,aawhite
RDL,1989,228.988767835497,aawhite
RDL,1963,604.304619612404,aawhite
RDL,1954,498.769193002056,aawhite
RDL,1947,769.246932743271,aawhite
RDL,1972,186.589082329057,aawhite
RDL,1963,385.299270262929,aawhite
SAC,1943,1295.83055145967,aawhite
SAC,1956,1172.02757430529,redacted
SAC,1966,1381.95803180959,aawhite
SAC,1984,2182.92373940075,aawhite
SAC,1971,502.897013781131,abi
SAC,1931,273.183536555723,aawhite
SAC,1973,760.909076747167,aawhite
SAC,1964,555.417253940008,aawhite
SAC,1956,767.487304013817,aawhite
SAC,1988,833.97429441333,aawhite
SAC,1941,380.900172753917,aawhite
SAC,1948,286.368027466225,aawhite
SAC,1987,778.157110965817,redacted
SAC,1938,289.319058997386,aawhite
SAC,1983,498.665840776951,abi
SAC,1950,527.826714590176,aawhite
SAC,1994,486.029165860193,redacted
SAC,1952,1348.94624081646,aawhite
SAC,1955,260.917487310529,redacted
SAC,1986,740.34487604324,aawhite
SAC,1991,447.964793170025,aawhite
SAC,1924,1383.60241910387,abi
SAC,1976,361.744154380359,aawhite
SAC,1994,1038.953575221,aawhite
SAC,1989,1388.79948823747,aawhite
SAC,1991,255.60209237744,abi
SAC,1995,869.891964114488,aawhite
SAC,1969,802.216496056201,redacted
SAC,1985,608.334316246078,aawhite
SAC,1983,365.656344124021,aawhite
SAC,1994,1038.56702759886,abi
SAC,1935,937.230643349037,aawhite
SAC,1967,927.749484559414,aawhite
SAC,1961,420.30968865186,aawhite
SAC,1995,549.034315002392,redacted
SAC,1969,308.701266007578,aawhite
SAC,1994,404.427244032751,aawhite
SAC,1925,3386.85479852873,aawhite
SAC,1953,368.485840298831,aawhite
SAC,1959,384.250626667781,abi
SAC,1958,839.591027457754,abi
SAC,1949,446.349614184296,aawhite
SAC,1947,543.679475004911,abi
SAC,1991,680.527505731535,aawhite
SAC,1950,321.928775885384,aawhite
SAC,1938,360.3335046396,aawhite
SAC,1958,322.342022767769,aawhite
SAC,1957,288.137319808984,aawhite
SAC,1954,754.259264361836,aawhite
SAC,1990,766.482037652266,redacted
SAC,1976,559.716466205479,aawhite
SAC,1994,623.37021218893,abi
SAC,1956,934.166656315668,redacted
SAC,1944,857.013768703623,abi
SAC,1984,823.357492827336,aawhite
SAC,1988,380.734863785091,abi
SAC,1945,1379.28172077217,aawhite
SAC,1982,179.261706003677,aawhite
SAC,1946,475.276070273871,aawhite
SAC,1964,679.313802744491,aawhite
SAC,1946,3186.19282391203,aawhite
SAC,1956,535.699047467184,aawhite
SAC,1950,847.281829022814,aawhite
SAC,1978,909.905171058163,aawhite
SAC,1948,356.328233956128,abi
SAC,1936,844.654903448328,aawhite
SAC,1966,442.489759424474,redacted
SAC,1990,498.657537667778,aawhite
SAC,1920,1058.01321859386,aawhite
SAC,1926,1253.92989309578,aawhite
SAC,1930,655.676275359523,aawhite
SAC,1992,308.248308924327,aawhite
SAC,1989,857.758475210765,redacted
SAC,1948,1160.35516344136,aawhite
SAC,1926,580.846107451893,aawhite
SAC,1956,546.534321334905,aawhite
SAC,1942,506.392820001678,aawhite
SAC,1982,411.146040310999,redacted
SAC,1960,739.729108770403,aawhite
SAC,1956,458.264746114733,aawhite
SAC,1957,757.410540676392,aawhite
SAC,1925,394.230022113744,aawhite
SAC,1923,825.65081154617,aawhite
SAC,1969,529.932963682587,aawhite
SAC,1961,531.231446841127,aawhite
SAC,1993,406.682707589557,aawhite
SAC,1965,309.334712321554,aawhite
SAC,1967,496.085124012454,aawhite
SAC,1965,656.464791661232,aawhite
SAC,1948,344.140631579938,aawhite
SAC,1993,417.016322833004,abi
SAC,1935,284.982145800679,aawhite
SAC,1972,413.083401031893,aawhite
SAC,1992,488.686788924154,abi
SAC,1939,1418.97260181272,aawhite
SAC,1948,450.066569986162,aawhite
SAC,1994,823.333917474195,redacted
SAC,1983,333.658163155932,redacted
SAC,1976,513.504620173869,redacted
SAC,1950,618.291081567869,redacted
SAC,1991,1071.25095376261,abi
SAC,1986,1362.91643617461,aawhite
SAC,1963,404.05449924193,redacted
SAC,1950,568.655920644847,aawhite
SAC,1995,853.881403572705,aawhite
SAC,1946,537.481616017045,aawhite
SAC,1993,588.890652863315,redacted
SAC,1996,349.40584416161,aawhite
SAC,1973,423.141268258822,aawhite
SAC,1930,1907.07675966899,aawhite
SAC,1975,517.628204732269,aawhite
SAC,1942,2393.92736885382,redacted
SAC,1987,474.128227603082,aawhite
SAC,1982,248.557600769516,aawhite
SAC,1956,1528.17922207085,abi
SAC,1993,777.239530618675,redacted
SAC,1994,612.790128989839,abi
SAC,1996,619.351574008096,abi
SAC,1954,291.940080814328,abi
SAC,1959,428.724498207406,aawhite
SAC,1961,1201.17641923063,aawhite
SAC,1992,271.205044982507,abi
SAC,1996,584.609626479589,aawhite
SAC,1995,371.730642404625,abi
SAC,1985,524.574222122967,abi
SAC,1992,235.168378785444,abi
SAC,1950,443.348978977437,abi
SAL,1968,1046.18540322405,redacted
SAL,1948,977.703342998479,abi
SAL,1991,489.469686072214,redacted
SAL,1970,756.334255711595,aawhite
SAL,1941,1360.91431189993,abi
SAL,1955,529.35317588971,redacted
SAL,1995,474.013193834768,aawhite
SAL,1945,643.130034585897,aawhite
SAL,1977,286.030156789843,redacted
SAL,1988,1486.64900056885,redacted
SAL,1986,913.765197182778,redacted
SAL,1979,612.886760749707,redacted
SAL,1989,793.902641665141,redacted
SAL,1959,752.486022381142,redacted
SAL,1996,579.138203652306,redacted
SAL,1961,353.791406602822,redacted
SAL,1958,569.690934369949,redacted
SAL,1978,404.062603761083,redacted
SAL,1985,584.869951949717,redacted
SAL,1998,698.121777773811,redacted
SAL,1992,500.799327921397,redacted
SAL,1993,731.405312372093,redacted
